# H0 k Omega_rbh chi2
72.3854 4.4100 0.1629 11.8524
72.3854 4.4100 0.1629 11.8524
72.3854 4.4100 0.1629 11.8524
72.1261 4.2902 0.1582 12.1198
72.3480 4.2657 0.1281 11.6095
71.8048 4.0597 0.1310 12.4582
72.1944 3.8423 0.1407 12.0828
72.5138 3.6990 0.1540 12.1047
72.2406 4.2768 0.1592 12.0081
72.5272 4.2800 0.1565 11.7684
72.5272 4.2800 0.1565 11.7684
72.5334 3.9199 0.1582 11.9977
71.4469 3.9974 0.1682 13.6382
71.6301 3.9899 0.1681 13.2172
72.0367 3.5957 0.1733 12.8708
72.3876 3.7906 0.1828 12.5038
72.5685 3.7489 0.1743 12.3372
72.3265 4.0507 0.1789 12.2872
72.4011 4.2724 0.1841 12.1436
72.8417 4.1757 0.1794 12.0563
73.1324 4.2560 0.1648 11.9581
73.0974 4.2171 0.1428 11.6978
72.5387 4.0235 0.1223 11.5208
73.1231 3.9762 0.1266 11.6477
72.8107 3.8917 0.1245 11.5505
73.0613 3.8592 0.1163 11.5417
73.0958 3.7215 0.1161 11.6287
73.0958 3.7215 0.1161 11.6287
72.9243 3.4080 0.1066 11.5872
73.0568 3.1273 0.1038 11.7708
73.4428 3.4654 0.1171 12.1330
73.2639 3.2105 0.1229 12.2169
72.9520 3.3142 0.1163 11.8040
72.9520 3.3142 0.1163 11.8040
73.2315 3.5615 0.1135 11.7836
73.2745 3.3401 0.1031 11.7944
73.2745 3.3401 0.1031 11.7944
73.2104 3.1952 0.0860 11.5439
73.2230 2.6005 0.1008 12.2640
73.3728 2.3644 0.1127 13.0479
73.6420 2.5325 0.1287 13.7143
73.6420 2.5325 0.1287 13.7143
73.6420 2.5325 0.1287 13.7143
73.4360 2.3476 0.1160 13.2667
73.4750 2.4866 0.1090 12.9177
73.4750 2.4866 0.1090 12.9177
73.1214 2.7025 0.1086 12.2583
73.1598 2.8365 0.1178 12.3630
73.4664 2.7744 0.1184 12.8031
73.3072 2.8981 0.1202 12.5013
73.4500 3.1947 0.1140 12.2863
72.6335 2.7881 0.1179 12.2244
72.6397 2.9074 0.1429 12.6320
72.2337 2.9021 0.1428 12.8251
72.1396 2.8715 0.1324 12.7384
71.7708 2.9486 0.1313 13.1751
72.2546 2.7277 0.1241 12.6055
72.2369 3.0702 0.1076 12.0394
72.2369 3.0702 0.1076 12.0394
71.6223 3.0080 0.1018 12.9648
71.2366 3.4331 0.1084 13.8505
71.0192 3.6936 0.1094 14.4654
71.0192 3.6936 0.1094 14.4654
71.1298 3.5958 0.1079 14.1176
71.2761 3.7610 0.1205 13.7335
71.7426 3.5377 0.1077 12.5468
72.0028 3.3565 0.1028 12.1116
71.6059 3.4661 0.1118 12.9121
71.7279 3.3179 0.1115 12.7173
71.7212 3.3533 0.1161 12.7713
71.6704 3.0975 0.1010 12.8060
71.5009 3.3570 0.1058 13.1364
71.4707 3.1194 0.0890 13.1091
71.2406 3.2071 0.0952 13.7802
71.4419 2.7192 0.1081 13.6575
71.6874 2.8304 0.1102 13.0641
71.6874 2.8304 0.1102 13.0641
71.6381 2.8045 0.1127 13.2264
71.6531 2.7200 0.1131 13.2668
72.4295 2.8796 0.1160 12.1750
72.4628 3.0335 0.1147 12.0107
72.0993 3.0548 0.1005 12.0952
72.1567 3.0386 0.0983 12.0009
71.5409 2.9096 0.0833 12.9446
71.4953 3.1678 0.0664 12.7891
71.7683 3.0342 0.0512 12.0362
71.7700 2.5639 0.0478 12.0851
71.5426 2.7588 0.0548 12.6371
71.5426 2.7588 0.0548 12.6371
71.5426 2.7588 0.0548 12.6371
71.8712 2.5948 0.0364 11.7456
72.1584 2.7238 0.0460 11.3824
72.5653 2.6693 0.0515 11.1076
72.3724 2.4727 0.0430 11.1641
72.8784 2.6166 0.0339 10.7938
72.8125 2.7682 0.0308 10.7294
72.8607 2.8568 0.0194 10.5813
73.1524 2.9612 0.0244 10.7040
72.6846 2.7653 0.0119 10.5440
72.6846 2.7653 0.0119 10.5440
72.6846 2.7653 0.0119 10.5440
72.6846 2.7653 0.0119 10.5440
72.7605 2.8580 0.0107 10.5039
72.7605 2.8580 0.0107 10.5039
72.7605 2.8580 0.0107 10.5039
72.6084 2.5992 0.0120 10.5875
72.8634 2.7244 0.0100 10.4855
72.8634 2.7244 0.0100 10.4855
73.0348 2.9170 0.0407 10.8653
72.7249 3.3321 0.0265 10.6386
72.8875 3.4778 0.0401 10.7362
72.9868 3.3702 0.0609 11.0055
72.9868 3.3702 0.0609 11.0055
73.6643 3.4192 0.0618 11.6509
73.7314 3.3003 0.0507 11.6419
73.4588 3.6663 0.0459 11.1155
72.9208 3.4308 0.0329 10.6727
73.1126 2.9966 0.0288 10.7330
73.3673 2.9620 0.0393 11.0637
73.2069 2.9001 0.0367 10.9042
73.2934 2.9583 0.0563 11.2457
72.9569 2.8249 0.0519 11.0230
73.0643 2.8121 0.0590 11.1782
72.8092 2.8215 0.0618 11.1571
72.8905 2.9071 0.0702 11.2643
72.7542 2.9308 0.0908 11.5847
72.8206 2.6845 0.0861 11.6548
72.8815 2.7024 0.0718 11.3831
72.7496 2.5338 0.0736 11.4978
72.8378 2.8167 0.0829 11.5157
72.4771 2.8558 0.0751 11.4507
72.6362 2.7794 0.0795 11.4904
72.7317 2.7523 0.0688 11.3024
72.2390 2.8187 0.0806 11.7488
72.3281 2.7819 0.0797 11.6673
72.5172 2.5523 0.0859 11.7898
72.6593 2.2953 0.0895 12.0400
72.9405 2.5212 0.0871 11.8240
73.0679 2.4623 0.0973 12.1878
72.8415 2.1950 0.0922 12.2301
73.3700 2.3524 0.0930 12.4823
73.4851 2.3631 0.0879 12.4871
73.2095 2.3765 0.0911 12.2284
73.0892 2.1336 0.0870 12.2713
73.0892 2.1336 0.0870 12.2713
72.8942 2.1900 0.1008 12.5073
72.9441 2.2293 0.0910 12.1949
72.6754 2.1440 0.0951 12.3545
73.3704 1.8964 0.0910 13.0205
73.1433 1.9707 0.0972 12.8744
72.7322 1.9156 0.0893 12.4685
72.8110 1.7791 0.1030 13.2358
72.7211 1.7011 0.0953 13.0436
72.7101 1.8437 0.1062 13.2096
72.3146 1.9807 0.1228 13.6467
72.6796 1.9904 0.1305 13.8579
72.6594 1.7797 0.1121 13.5866
72.6627 1.5810 0.1011 13.5550
72.4534 1.6019 0.0983 13.3962
72.6162 1.9058 0.0752 12.0339
72.7495 2.1102 0.0813 11.9977
72.8680 2.4178 0.0885 11.9189
72.7376 2.5782 0.0788 11.5752
72.6860 2.4550 0.0879 11.8591
72.4687 2.4488 0.0945 12.0783
72.2148 2.5037 0.1007 12.3536
72.2235 2.7669 0.1106 12.3228
72.2235 2.7669 0.1106 12.3228
71.9365 2.8214 0.1079 12.5895
72.3966 2.6996 0.1174 12.3885
72.6768 2.8775 0.1144 12.0650
72.4731 2.4608 0.1117 12.4741
72.8764 2.4160 0.1246 12.8846
73.3788 2.4910 0.1197 13.0798
73.4947 2.5663 0.1122 12.9357
73.8260 2.8750 0.1174 13.3169
73.8930 2.7905 0.1202 13.6348
74.1037 2.8376 0.1170 14.0223
74.1037 2.8376 0.1170 14.0223
74.4509 2.4813 0.1070 15.2588
74.4297 2.3292 0.1097 15.5158
74.0769 2.4863 0.1231 14.6241
74.0679 2.7559 0.1213 14.1420
74.0679 2.7559 0.1213 14.1420
74.0404 2.7164 0.1300 14.3681
74.3548 2.9444 0.1295 14.9508
74.5515 2.9281 0.1291 15.6302
74.5515 2.9281 0.1291 15.6302
74.2379 3.0077 0.1133 14.1221
74.7855 2.9293 0.0916 15.5516
74.6650 3.0707 0.0993 15.1521
73.7908 3.0495 0.0969 12.6384
73.4691 3.2279 0.1049 12.1232
73.2980 3.5218 0.1142 11.8814
72.8370 3.9696 0.1032 11.2758
72.6004 4.2271 0.0973 11.1785
72.4101 4.2261 0.0976 11.2964
72.3936 4.1683 0.0921 11.2769
72.4310 4.1007 0.0854 11.2055
72.7493 3.9998 0.0951 11.1833
72.7202 4.1465 0.1003 11.1937
72.7202 4.1465 0.1003 11.1937
72.8074 4.4009 0.1131 11.2259
72.4213 4.1312 0.1207 11.5314
72.2718 4.2045 0.1177 11.6062
72.3097 4.0828 0.1134 11.5703
72.4853 4.2369 0.1099 11.3495
72.4853 4.2369 0.1099 11.3495
72.3802 4.2872 0.1281 11.5750
72.1746 4.3514 0.1270 11.7473
72.1746 4.3514 0.1270 11.7473
72.0457 4.0642 0.1247 11.9983
71.9764 4.0619 0.1109 11.9755
72.1464 3.7523 0.1215 11.9616
72.2339 3.7845 0.1293 11.9380
72.4161 3.4338 0.1430 12.1941
72.4334 3.4828 0.1359 12.0415
72.4334 3.4828 0.1359 12.0415
72.4334 3.4828 0.1359 12.0415
72.0898 3.1543 0.1309 12.5169
72.0898 3.1543 0.1309 12.5169
72.2810 3.2660 0.1080 11.8890
72.0987 3.6664 0.1174 12.0138
71.8138 3.8572 0.1188 12.4013
71.8138 3.8572 0.1188 12.4013
71.3069 4.2312 0.1151 13.4597
71.3069 4.2312 0.1151 13.4597
71.3069 4.2312 0.1151 13.4597
71.2657 4.2957 0.1091 13.5235
71.2657 4.2957 0.1091 13.5235
71.3719 4.1399 0.1077 13.2440
71.4393 3.9606 0.1055 13.0904
71.3613 3.9350 0.0884 13.1754
71.2718 3.9674 0.0863 13.4136
71.6798 4.3371 0.0833 12.2664
72.3248 4.3553 0.0956 11.3227
72.3248 4.3553 0.0956 11.3227
72.3248 4.3553 0.0956 11.3227
72.5778 4.3459 0.1114 11.2798
72.5778 4.3459 0.1114 11.2798
72.5778 4.3459 0.1114 11.2798
72.5798 4.3916 0.1071 11.2278
72.5798 4.3916 0.1071 11.2278
72.4515 4.3781 0.1259 11.4697
72.4764 3.9655 0.1203 11.5572
72.2457 4.0904 0.1188 11.6834
72.2457 4.0904 0.1188 11.6834
72.4556 4.3194 0.1200 11.4338
72.5249 4.2471 0.1439 11.6544
72.5285 3.9905 0.1524 11.8835
